 Order ID ,Order Date,Product ,Category,Quantity,Unit Price,City ,Payment
B001,2026-08-01, 美式咖啡,飲品,2,80,台北市,CARD
B002,2026-08-01,拿鐵 ,飲品,1,120,新北,Mobile
B003,2026/08/02,貝果,餐點,3,65,台中市,cash
B004,2026-08-02,紅茶,飲品,2,55,,MOBILE
B005,2026-08-03,可頌,餐點,2,70,台北,
B006,2026-08-03,拿鐵,飲品,,120,桃園市,card
B007,2026-08-04,三明治,餐點,1,95,台中,CARD
B008,2026-08-04,美式咖啡,飲品,4,80, 台北市 ,cash
B009,2026-08-05,抹茶拿鐵,飲品,1,130,高雄市,Mobile
B010,2026-08-05,貝果,餐點,2,,新北市,CARD
B011,2026-08-06,紅茶,飲品,three,55,桃園,cash
B012,2026-08-06,可頌,餐點,1,70,台北,mobile
B013,2026-13-07,三明治,餐點,2,95,台中市,CARD
B014,2026-08-07,拿鐵,飲品,3,120,新北,Mobile
B015,2026-08-08, 美式咖啡 ,飲品,2,80,高雄,cash
B016,2026-08-08,貝果,餐點,1,65,台北市,CARD
B017,2026-08-09,抹茶拿鐵,飲品,2,130,桃園市,Mobile
B018,2026-08-09,可頌,餐點,3,70,台中,cash
B019,not-a-date,紅茶,飲品,1,55,新北市,CARD
B020,2026-08-10,三明治,餐點,2,95,台北,mobile
B020,2026-08-10,三明治,餐點,2,95,台北,mobile
B021,2026-08-11,拿鐵,飲品,1,120,高雄市,CARD
B022,2026-08-11,美式咖啡,飲品,3,80,桃園,cash
B022,2026-08-12,貝果,餐點,2,65,台中市,Mobile
