order_id,date,product,category,quantity,unit_price,city,payment
A001,2026-08-01,美式咖啡,飲品,2,80,台北,信用卡
A002,2026-08-01,拿鐵,飲品,1,120,新北,行動支付
A003,2026-08-02,貝果,餐點,3,65,台中,現金
A004,2026-08-02,紅茶,飲品,2,55,高雄,行動支付
A005,2026-08-03,可頌,餐點,2,70,台北,信用卡
A006,2026-08-03,拿鐵,飲品,2,120,桃園,行動支付
A007,2026-08-04,三明治,餐點,1,95,台中,信用卡
A008,2026-08-04,美式咖啡,飲品,4,80,台北,現金
A009,2026-08-05,抹茶拿鐵,飲品,1,130,高雄,行動支付
A010,2026-08-05,貝果,餐點,2,65,新北,信用卡
A011,2026-08-06,紅茶,飲品,3,55,桃園,現金
A012,2026-08-06,可頌,餐點,1,70,台北,行動支付
A013,2026-08-07,三明治,餐點,2,95,台中,信用卡
A014,2026-08-07,拿鐵,飲品,3,120,新北,行動支付
A015,2026-08-08,美式咖啡,飲品,2,80,高雄,現金
A016,2026-08-08,貝果,餐點,1,65,台北,信用卡
A017,2026-08-09,抹茶拿鐵,飲品,2,130,桃園,行動支付
A018,2026-08-09,可頌,餐點,3,70,台中,現金
A019,2026-08-10,紅茶,飲品,1,55,新北,信用卡
A020,2026-08-10,三明治,餐點,2,95,台北,行動支付
A021,2026-08-11,拿鐵,飲品,1,120,高雄,信用卡
A022,2026-08-11,美式咖啡,飲品,3,80,桃園,現金
A023,2026-08-12,貝果,餐點,2,65,台中,行動支付
A024,2026-08-12,抹茶拿鐵,飲品,2,130,台北,信用卡
A025,2026-08-13,可頌,餐點,1,70,新北,現金
A026,2026-08-13,紅茶,飲品,4,55,高雄,行動支付
A027,2026-08-14,三明治,餐點,1,95,桃園,信用卡
A028,2026-08-14,拿鐵,飲品,2,120,台北,行動支付
A029,2026-08-15,美式咖啡,飲品,1,80,台中,現金
A030,2026-08-15,貝果,餐點,3,65,新北,信用卡
