order_id,date,customer_id,city,category,product,quantity,unit_price,payment
O001,2026-01-02,C001,Taipei,Snack,Cookie,1,55,cash
O002,2026-01-05,C006,Taichung,Daily,Tissue,2,80,mobile
O003,2026-01-08,C011,Kaohsiung,Drink,Coffee,3,120,card
O004,2026-01-11,C016,Tainan,Snack,Chips,4,45,cash
O005,2026-01-14,C004,Taipei,Daily,Soap,5,110,mobile
O006,2026-01-17,C009,Taichung,Drink,Tea,1,70,card
O007,2026-01-20,C014,Kaohsiung,Snack,Cake,2,160,cash
O008,2026-01-23,C002,Tainan,Daily,Bottle,3,260,mobile
O009,2026-02-02,C007,Taipei,Snack,Cake,4,160,card
O010,2026-02-05,C012,Taichung,Daily,Tissue,5,80,cash
O011,2026-02-08,C017,Kaohsiung,Drink,Coffee,1,120,mobile
O012,2026-02-11,C005,Tainan,Snack,Cookie,2,55,card
O013,2026-02-14,C010,Taipei,Daily,Soap,3,110,cash
O014,2026-02-17,C015,Taichung,Drink,Tea,4,70,mobile
O015,2026-02-20,C003,Kaohsiung,Snack,Chips,5,45,card
O016,2026-02-23,C008,Tainan,Daily,Bottle,1,260,cash
O017,2026-03-02,C013,Taipei,Snack,Cake,2,160,mobile
O018,2026-03-05,C001,Taichung,Daily,Bottle,3,260,card
O019,2026-03-08,C006,Kaohsiung,Drink,Coffee,4,120,cash
O020,2026-03-11,C011,Tainan,Snack,Cookie,5,55,mobile
O021,2026-03-14,C016,Taipei,Daily,Tissue,1,80,card
O022,2026-03-17,C004,Taichung,Drink,Tea,2,70,cash
O023,2026-03-20,C009,Kaohsiung,Snack,Chips,3,45,mobile
O024,2026-03-23,C014,Tainan,Daily,Soap,4,110,card
O025,2026-04-02,C002,Taipei,Snack,Cake,5,160,cash
O026,2026-04-05,C007,Taichung,Daily,Bottle,1,260,mobile
O027,2026-04-08,C012,Kaohsiung,Drink,Juice,2,90,card
O028,2026-04-11,C017,Tainan,Snack,Cookie,3,55,cash
O029,2026-04-14,C005,Taipei,Daily,Tissue,4,80,mobile
O030,2026-04-17,C010,Taichung,Drink,Coffee,5,120,card
O031,2026-04-20,C015,Kaohsiung,Snack,Chips,1,45,cash
O032,2026-04-23,C003,Tainan,Daily,Soap,2,110,mobile
O033,2026-05-02,C008,Taipei,Snack,Chips,3,45,card
O034,2026-05-05,C013,Taichung,Daily,Bottle,4,260,cash
O035,2026-05-08,C001,Kaohsiung,Drink,Juice,5,90,mobile
O036,2026-05-11,C006,Tainan,Snack,Cake,1,160,card
O037,2026-05-14,C011,Taipei,Daily,Tissue,2,80,cash
O038,2026-05-17,C016,Taichung,Drink,Coffee,3,120,mobile
O039,2026-05-20,C004,Kaohsiung,Snack,Cookie,4,55,card
O040,2026-05-23,C009,Tainan,Daily,Soap,5,110,cash
O041,2026-06-02,C014,Taipei,Snack,Chips,1,45,mobile
O042,2026-06-05,C002,Taichung,Daily,Soap,2,110,card
O043,2026-06-08,C007,Kaohsiung,Drink,Juice,3,90,cash
O044,2026-06-11,C012,Tainan,Snack,Cake,4,160,mobile
O045,2026-06-14,C017,Taipei,Daily,Bottle,5,260,card
O046,2026-06-17,C005,Taichung,Drink,Coffee,1,120,cash
O047,2026-06-20,C010,Kaohsiung,Snack,Cookie,2,55,mobile
O048,2026-06-23,C015,Tainan,Daily,Tissue,3,80,card
