 Order ID ,Order Date,Product ,Category,Quantity,Unit Price,City ,Payment
C001,2026-09-01, 美式咖啡,飲品,2,80,台北市,CARD
C002,2026-09-01,拿鐵 ,飲品,1,120,新北,Mobile
C003,2026/09/02,貝果,餐點,3,65,台中市,cash
C004,2026-09-02,紅茶,飲品,2,55,,MOBILE
C005,2026-09-03,可頌,餐點,2,70,台北,
C006,2026-09-03,拿鐵,飲品,,120,桃園市,card
C007,2026-09-04,三明治,餐點,1,95,台中,CARD
C008,2026-09-04,美式咖啡,飲品,4,80, 台北市 ,cash
C009,2026-09-05,抹茶拿鐵,飲品,1,130,高雄市,Mobile
C010,2026-09-05,貝果,餐點,2,,新北市,CARD
C011,2026-09-06,紅茶,飲品,three,55,桃園,cash
C012,2026-09-06,可頌,餐點,1,70,台北,mobile
C012,2026-09-06,可頌,餐點,1,70,台北,mobile
C013,2026-15-07,三明治,餐點,2,95,高雄市,CARD
